N,cor_xm,rel,gamma_xm,method,coverage_std,coverage_usd,outlier_se,power_lrt,power_std,power_usd,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_lrt,type1_std,type1_usd,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0.6,0.7,0.3,upi,0.892,0.882,7.6,0.47550000000000003,0.35750000000000004,0.47550000000000003,0.044735522114665686,1.1167227866444063,0.32897125302909375,0.13722684801762378,-0.009745677237952593,-0.07298384606312514,0.00524293551864069,-0.4832623207748744,0.4755,0.3575,0.4755,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
100,0.6,0.8,0.3,mmr,0.8895,0,1.5,0.8815,0.887,0.8815,-0.020214447631221946,-0.15885414193220904,0.09502474718837202,-0.21765691698855874,-0.20679570886374418,-0.12737802941780374,-0.018995308436810687,-0.1579314986296687,0.8815,0.887,0.8815,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.8,0.3,rapi,0.9635,0.929,4.65,0.84,0.7925,0.84,0.017823932989947285,0.0695779146271236,0.12300580947696844,0.14641220800063703,0.09954785470666296,0.07931129006225612,0.012535671064492604,7.488074127175448e-4,0.84,0.7925,0.84,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.8,0.3,tspa,0.946,0.9175,3.3000000000000003,0.8654999999999999,0.853,0.8654999999999999,0.006178278937665263,-0.05542737067522352,0.11376633300248899,0.05437340282438752,0.019404448103247075,-0.049713349072084134,0.002908793261645559,-0.08438471287290528,0.8655,0.853,0.8655,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.8,0.3,upi,0.925,0.8935,5.45,0.8055,0.749,0.8055,0.016901496895949886,-0.1029126582283083,0.15235477550155685,0.1115962040970419,-0.011851591781260606,-0.05967740480074668,0.0028450935652651332,-0.18365671546981455,0.8055,0.749,0.8055,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.9,0.3,mmr,0.883,0,1.2,0.942,0.945,0.942,0.008964962790930878,-0.17648702717205533,0.09178737445683299,0.09811567355134623,0.11783377217241245,-0.14927892675959342,0.00950305320208722,-0.17661192899028533,0.942,0.945,0.942,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
100,0.6,0.9,0.3,rapi,0.9535,0.86,2,0.94,0.925,0.94,0.002660011618285159,0.039353468017347515,0.09243589888703403,0.028781548711201563,0.024233785225733256,0.016700959951545746,0.0015183210434981942,0.02290294089283096,0.94,0.925,0.94,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
100,0.6,0.9,0.3,tspa,0.944,0.9145,1.6500000000000001,0.9390000000000001,0.9319999999999999,0.9390000000000001,-0.0018241449039347257,-0.023103555173364487,0.0909470567638046,-0.02005623726594034,-0.023663001509067076,-0.05078944413151787,-0.002800103483442784,-0.03294560327498264,0.939,0.932,0.939,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
100,0.6,0.9,0.3,upi,0.945,0.9205,2.75,0.928,0.917,0.928,-8.093866405473963e-4,-0.0336321019117195,0.09958470807112611,-0.008125855989487417,-0.049064257434886925,-0.010048359311301547,-0.005191911450423359,-0.05445131314952312,0.928,0.917,0.928,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
250,0,0.7,0.3,mmr,0.613,0,0.95,0.9335,0.9355,0.9335,-0.09337072129472132,-0.08677277702424269,0.1116380528904942,-1.5253809994783467,-1.5096696246353136,-0.09495322647680826,-0.09328537033813378,-0.08468209450675157,0.9335,0.9355,0.9335,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
