N,cor_xm,rel,gamma_xm,raw_bias.reg_yint_est,method,par,convergence_rate,coverage,MAD,MeanSE,MedianSE,outlier_se,power,power_lrt,raw_bias,raw_rse_bias,rmse,SD,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1,type1_lrt,REPLICATIONS,N_lab,gammaint_lab,cor_xm_lab,rel_lab
250,0,0.8,0,-0.0012783638126129752,upi,yint,1,0.9625,0.08063694481678059,0.08125942794281707,0.07761532640102566,3.45,0.03749999999999998,0.04149999999999998,-1.0951406557071373e-4,-0.05755136577007314,0.08620011017934757,0.08622159870730144,-0.0012701465434720573,0.023318543517925748,-0.03747188615119923,4.865205687574343e-4,-0.09073429195227645,0.0375,0.0415,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
250,0,0.9,0,-0.002234122808226199,rapi,yint,1,0.9515,0.06866782998941237,0.06663324967476893,0.06619607304780536,1.15,0.04849999999999999,0.049000000000000044,-0.002305480938308094,-0.005443799428270557,0.06702088697904827,0.06699797320298663,-0.03441120422140353,-0.038520179843369876,-0.035995850487602676,-0.002952293548676498,-0.011095062354465668,0.0485,0.049,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
250,0,0.9,0,-0.002234122808226199,reg,yint,1,0.9455,0.06019026086929599,0.0579577690384384,0.05802278222186587,0.8,0.05449999999999999,0.05400000000000005,NA,-0.0018979160652102811,0.05809643133719491,0.05806797718521248,-0.03847426613639881,-0.04869154348852621,-0.03601045445104212,-0.002755357343122121,-0.0011780033549615432,0.0545,0.054,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
250,0,0.9,0,-0.002234122808226199,tspa,yint,1,0.95,0.06759323881311655,0.06555135271700355,0.06517047498201042,1,0.050000000000000044,0.05300000000000005,-0.002237144928359298,-0.009876146885905879,0.066226448101288,0.06620520504665584,-0.033791073175934536,-0.05288568197136824,-0.035843286601558444,-0.0028897647547446443,-0.014632355228602845,0.05,0.053,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
250,0,0.9,0,-0.002234122808226199,upi,yint,1,0.955,0.067143687684154,0.06656884862348772,0.06555408660409123,2.25,0.04500000000000004,0.04800000000000004,-0.0022093999132437154,-0.013299868564266348,0.06748544713423216,0.0674661394101816,-0.03274827835947414,-0.047123238256958286,-0.023674616853639363,-0.002540185875750072,-0.025776906791934562,0.045,0.048,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
250,0.3,0.7,0,-5.135027186306631e-4,rapi,yint,1,0.974,0.08267361055443075,0.08920385505611997,0.08459387008329061,4.8500000000000005,0.026000000000000023,0.035499999999999976,-0.0016720497029187138,0.0019050268371725299,0.08902768405386302,0.08903424243485425,-0.01877984983296894,-0.017378402877698203,0.02322699487759272,-0.0016847046160561856,-0.04180102050509704,0.026,0.0355,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
250,0.3,0.7,0,-5.135027186306631e-4,reg,yint,1,0.948,0.05728841696762066,0.05742909525836699,0.05743895245580285,0.8,0.052000000000000046,0.05049999999999999,NA,-0.0028321474064882945,0.05758009479006456,0.05759220487202925,-0.008916184399810251,-0.0048484961911900645,0.002627677568177056,-4.961125442531463e-4,-0.0022770929929637473,0.052,0.0505,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
250,0.3,0.7,0,-5.135027186306631e-4,tspa,yint,1,0.9525,0.0793691611369693,0.08369901956722842,0.08057533286333635,4.35,0.04749999999999999,0.049000000000000044,-0.0011775555191586616,-0.02700477207731866,0.08600857796066722,0.08602202473893276,-0.013689000261647074,-0.03130263609972658,0.015196982166480577,-0.0016549376815475914,-0.05798383229648563,0.0475,0.049,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
250,0.3,0.7,0,-5.135027186306631e-4,upi,yint,1,0.965,0.0840624628883328,0.09041084786698445,0.08508198490623875,2.35,0.03500000000000003,0.04400000000000004,-0.0027268653538591904,-0.09811972482527775,0.10025908686335494,0.10024706200550738,-0.027201449092935828,-0.006883940833559697,0.012128148318236498,-0.0016609860067791885,-0.13269113946834843,0.035,0.044,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
250,0.3,0.8,0,-0.0010490727956763662,rapi,yint,1,0.957,0.06774845109360686,0.07221617505762025,0.07105458409242851,2.1999999999999997,0.04300000000000004,0.04949999999999999,-0.001572527500459361,0.004843219871729421,0.07186733904350406,0.07186810203768784,-0.02188074341569119,-0.006596666360292175,0.04880012672546008,-2.4551653719775155e-4,-0.009119700117344753,0.043,0.0495,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.8
250,0.3,0.8,0,-0.0010490727956763662,reg,yint,1,0.9465,0.05571878805646568,0.05670290610721117,0.05669685229620666,0.95,0.05349999999999999,0.05149999999999999,NA,-3.248650901653827e-4,0.056716853787343105,0.05672133288813417,-0.018495207045739703,0.007663868566792046,0.017553580647694744,-1.7004408295902574e-4,1.9124231837008843e-4,0.0535,0.0515,2000,italic(N) == 250,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.8
